Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,7 Monate,,1000 km,,,ADA,0,,0,deny,manual,544,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,7 Monate,,1500 km,,,ADA,0,,0,deny,manual,579,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,7 Monate,,2000 km,,,ADA,0,,0,deny,manual,614,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,7 Monate,,2500 km,,,ADA,0,,0,deny,manual,648,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,8 Monate,,500 km,,,ADA,0,,0,deny,manual,505,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,8 Monate,,1000 km,,,ADA,0,,0,deny,manual,540,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,8 Monate,,1500 km,,,ADA,0,,0,deny,manual,574,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,8 Monate,,2000 km,,,ADA,0,,0,deny,manual,609,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,8 Monate,,2500 km,,,ADA,0,,0,deny,manual,644,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,9 Monate,,500 km,,,ADA,0,,0,deny,manual,501,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,9 Monate,,1000 km,,,ADA,0,,0,deny,manual,536,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,9 Monate,,1500 km,,,ADA,0,,0,deny,manual,571,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,9 Monate,,2000 km,,,ADA,0,,0,deny,manual,605,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,9 Monate,,2500 km,,,ADA,0,,0,deny,manual,640,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,10 Monate,,500 km,,,ADA,0,,0,deny,manual,498,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,10 Monate,,1000 km,,,ADA,0,,0,deny,manual,533,,FALSCH,WAHR
